longitude,latitude,altitude,time,tau_cirrus,tau_contrail,rf_sw,rf_lw,width,depth,segment_length,n_ice_per_m,r_ice_vol,location,RHi_era5,flight_level,month,seasonal_factor,RHi_pred,hour,rf_total
12.525,45.738,34075.0,2024-11-10 15:50:00,0.0,0.4384,0.0,8.832,130.0,147.0,2748.0,12765000000000.0,9.15e-07,Venice_Italy,1.0926998145593598,340.75,11,1,1.1067142125732097,15,8.832
12.594,45.751,35039.0,2024-11-10 15:50:00,0.0,0.1772,0.0,2.898,282.0,118.0,2749.0,12635000000000.0,6.88e-07,Venice_Italy,1.036200379192152,350.39,11,1,1.086245749802682,15,2.898
12.627,45.76,35518.0,2024-11-10 15:50:00,0.0,0.7829,0.0,21.489,118.0,104.0,0.0,10084000000000.0,1.286e-06,Venice_Italy,1.1278882367991256,355.18,11,1,1.0840459366043476,15,21.489
12.696,45.836,36942.0,2024-11-10 16:00:00,0.0,0.2521,0.0,7.039,204.0,105.0,0.0,7532000000000.0,1.193e-06,Venice_Italy,1.164205140174699,369.42,11,1,1.1189211656972373,16,7.039
12.716,45.899,37884.0,2024-11-10 16:10:00,0.0,0.0324,0.0,0.623,662.0,115.0,3963.0,4971000000000.0,7.65e-07,Venice_Italy,1.0898321069619645,378.84,11,1,1.0983475832899923,16,0.623
12.763,45.914,38363.0,2024-11-10 16:10:00,0.0,0.451,0.0,14.109,156.0,105.0,0.0,6052000000000.0,1.369e-06,Venice_Italy,1.1062544972023256,383.63,11,1,1.1043434519242945,16,14.109
12.737,45.964,38822.0,2024-11-10 16:20:00,0.0,0.1418,0.0,4.436,317.0,122.0,4021.0,4339000000000.0,1.327e-06,Venice_Italy,1.1903657331542115,388.22,11,1,1.1104734840304682,16,4.436
12.785,45.978,38829.0,2024-11-10 16:20:00,0.0,0.2702,0.0,8.983,236.0,115.0,4017.0,4557000000000.0,1.449e-06,Venice_Italy,1.1020610363991246,388.29,11,1,1.1164320195738744,16,8.983
12.834,45.992,38835.0,2024-11-10 16:20:00,0.0,0.5809,0.0,18.456,132.0,106.0,0.0,5665000000000.0,1.432e-06,Venice_Italy,1.0592900172942037,388.35,11,1,1.0982989588085228,16,18.456
12.761,46.029,38816.0,2024-11-10 16:30:00,0.0,0.0494,0.0,0.888,458.0,131.0,3946.0,5462000000000.0,7.21e-07,Venice_Italy,1.1110717526862512,388.16,11,1,1.1074651064905603,16,0.888
12.808,46.042,38819.0,2024-11-10 16:30:00,0.0,0.0896,0.0,2.645,390.0,124.0,4008.0,4268000000000.0,1.25e-06,Venice_Italy,1.1196942512965375,388.19,11,1,1.1090480839606562,16,2.645
12.856,46.056,38825.0,2024-11-10 16:30:00,0.0,0.2005,0.0,6.504,288.0,116.0,4008.0,4485000000000.0,1.411e-06,Venice_Italy,1.1617911653745074,388.25,11,1,1.1069327931926294,16,6.504
12.904,46.07,38832.0,2024-11-10 16:30:00,0.0,0.4098,0.0,13.831,182.0,108.0,4001.0,4739000000000.0,1.521e-06,Venice_Italy,1.0833049376936867,388.32,11,1,1.101070477255157,16,13.831
12.952,46.084,38839.0,2024-11-10 16:30:00,0.0,1.4242,0.0,43.028,66.0,99.0,0.0,5900000000000.0,1.526e-06,Venice_Italy,1.1277094151739973,388.39,11,1,1.10404966896598,16,43.028
12.879,46.12,38816.0,2024-11-10 16:40:00,0.0,0.0604,0.0,1.641,445.0,125.0,3987.0,4598000000000.0,1.14e-06,Venice_Italy,1.0938031839366311,388.16,11,1,1.1074651064905603,16,1.641
12.927,46.133,38822.0,2024-11-10 16:40:00,0.0,0.1484,0.0,4.695,345.0,118.0,3998.0,4419000000000.0,1.368e-06,Venice_Italy,1.1457459961069159,388.22,11,1,1.1104734840304682,16,4.695
