station_id,name,latitude,longitude,elevation,date_range
PLXUAC03751,MIELEC,50.28,21.43,167.0,1957 to 1960
PLXUAE05764,WROCLAW,51.12,17.03,118.0,1920 to 1920
POM00008535,LISBOA/GEOFISICO,38.72,-9.15,95.4,1939 to 1944
POM00008545,PORTO/PEDRAS RUBRAS,41.233,-8.683,77.0,1973 to 1981
POM00008549,COIMBRA,40.2,-8.417,140.0,1973 to 1975
POM00008554,FARO/AEROPORTO,37.017,-7.967,8.0,1973 to 1983
POM00008579,LISBOA/GAGO COUTINHO,38.7667,-9.1333,104.0,1948 to 2019
RIM00013275,BEOGRAD/KOSUTNJAK,44.7667,20.4167,203.0,1971 to 2025
RIM00013276,BEOGRAD/SELENO BRD,44.7833,20.5333,243.0,1955 to 1971
RIM00013388,NIS,43.3333,21.9,203.0,1973 to 2025
ROM00015010,SATU MARE,47.717,22.883,124.0,1974 to 1993
ROM00015014,BAIA MARE,47.667,23.5,218.0,1974 to 1982
ROM00015023,SUCEAVA,47.633,26.25,350.0,1974 to 1982
ROM00015080,ORADEA,47.033,21.9,140.0,1974 to 1982
ROM00015090,IASI,47.167,27.633,104.0,1974 to 1991
ROM00015120,CLUJ-NAPOCA,46.7778,23.5714,410.0,1951 to 2012
ROM00015145,TG. MURES,46.533,24.533,309.0,1977 to 1993
ROM00015150,BACAU,46.583,26.983,184.0,1974 to 1996
ROM00015200,ARAD,46.167,21.317,117.0,1973 to 1993
ROM00015230,DEVA,45.867,22.9,231.0,1974 to 1982
ROM00015235,FAGARAS,45.833,24.933,429.0,1991 to 1993
ROM00015247,TIMISOARA,45.767,21.25,88.0,1974 to 1982
ROM00015260,SIBIU,45.783,24.083,443.0,1974 to 1989
ROM00015300,BRASOV-GHIMBAV,45.7,25.533,538.0,1974 to 1984
ROM00015302,PREDEAL,45.5,25.583,1093.0,1977 to 1988
ROM00015310,GALATI,45.5,28.2,71.0,1973 to 1989
ROM00015350,BUZAU,45.15,26.817,96.0,1977 to 1992
ROM00015360,SULINA,45.15,29.667,3.0,1991 to 1998
ROM00015410,DROBETA TURNU SEVER,44.633,22.633,77.0,1974 to 1993
ROM00015420,BUCURESTI BANEASA,44.5106,26.0781,90.0,1950 to 2025
ROM00015450,CRAIOVA,44.317,23.867,195.0,1974 to 1982
ROM00015480,CONSTANTA,44.217,28.633,13.0,1965 to 2001
ROM00015490,TR. MAGURELE,43.75,24.883,31.0,1977 to 1981
RSM00022113,MURMANSK,68.9833,33.1167,121.0,1939 to 2018
RSM00022217,KANDALAKSHA,67.1692,32.3542,26.0,1957 to 2025
RSM00022522,KEM,64.95,34.65,8.0,1950 to 2025
RSM00022802,SORTAVALA,61.717,30.717,18.0,1920 to 1990
RSM00022820,PETROZAVODSK,61.8167,34.2667,110.0,1957 to 2025
RSM00022845,KARGOPOL,61.5067,38.9347,124.0,1962 to 2025
RSM00026063,ST.PETERSBURG (VOEJKOVO),59.95,30.7,72.0,1946 to 2018
RSM00026065,LENINGRAD/CHOSSEYNOR,59.933,30.317,20.0,1954 to 1956
RSM00026258,PSKOV,57.817,28.333,45.0,1948 to 1998
RSM00026298,BOLOGOE,57.8833,34.0333,186.0,1952 to 2025
RSM00026477,VELIKIE LUKI,56.35,30.6167,97.0,1960 to 2025
RSM00026702,KALININGRAD,54.7264,20.5583,19.0,1939 to 2020
RSM00026781,SMOLENSK,54.75,32.0667,240.0,1939 to 2025
RSM00027038,VOLOGDA,59.3183,39.9256,124.7,1947 to 2025
RSM00027331,JAROSLAVL,57.58,39.58,103.0,1950 to 1953
RSM00027612,MOSKVA (DOLGOPRUDNYJ),55.93,37.5183,187.0,1934 to 2018
RSM00027707,SUHINICHI,54.1,35.35,237.0,1961 to 2025
RSM00027730,RYAZAN,54.6333,39.7,155.0,1962 to 2025
RSM00034009,KURSK,51.7667,36.1667,246.4,1946 to 2025
RSM00034122,VORONEZ,51.65,39.25,100.0,1939 to 2025
RSM00034731,ROSTOV-NA-DONU,47.25,39.8167,78.0,1939 to 2025
RSM00037011,TUAPSE,44.1,39.0333,94.6,1950 to 2025
RSM00037099,SOCHI,43.5833,39.7667,141.9,2013 to 2014
RSXUAC00073,SLUTSK,59.68,30.45,35.0,1939 to 1939
SIM00014015,LJUBLJANA/BEZIGRAD,46.0656,14.5122,299.0,1996 to 2025
SPM00008001,LA CORUNA,43.3658,-8.4214,58.0,1958 to 2025
SPM00008023,SANTANDER,43.4911,-3.8006,52.0,1973 to 2025
SPM00008055,LEON/VIRGEN DEL CAM,42.583,-5.65,914.0,1973 to 1976
SPM00008084,LOGRONO/AGONCILLO,42.45,-2.333,363.0,1973 to 1977
SPM00008087,BARDENAS REALES,42.2,-1.45,295.0,1973 to 1990
SPM00008140,VALLADOLID/VILLANUB,41.717,-4.85,849.0,1973 to 1976
SPM00008160,ZARAGOZA/BASE AEREA,41.6786,-1.0731,252.0,1958 to 2015
SPM00008190,BARCELONA SERVEI,41.3844,2.1181,95.0,2007 to 2025
SPM00008202,SALAMANCA/MATACAN,40.95,-5.5,794.0,1974 to 1976
SPM00008221,MADRID/BARAJAS RS,40.4653,-3.5797,631.0,1950 to 2025
SPM00008301,PALMA DE MALLORCA,39.55,2.617,6.0,1988 to 2002
SPM00008302,MALLORCA-SON BONET,39.6058,2.7067,41.0,1958 to 2025
SPM00008314,MENORCA/MAHON,39.867,4.233,86.0,1974 to 1976
SPM00008383,HUELVA,37.2783,-6.9117,19.0,2018 to 2025
SPM00008430,MURCIA,38.0019,-1.1708,61.0,1984 to 2025
SPM00008433,MURCIA/SAN JAVIER,37.783,-0.8,3.0,1973 to 1980
SWM00002084,USAF-DS3-010,57.717,11.783,5.0,1949 to 1977
SWM00002185,LULEA-KALLAX,65.5433,22.1144,17.0,1949 to 2025
SWM00002225,USAF-DS3-012,63.183,14.5,366.0,1949 to 1983
SWM00002365,SUNDSVALL HARNOSAND,62.5317,17.4361,3.9,1965 to 2025
SWM00002465,USAF-DS3-016,59.35,17.95,22.0,1949 to 1995
SWM00002515,TORPABRON,58.183,12.15,20.0,1977 to 1977
SWM00002527,GOTEBORG/LANDVETTER,57.6572,12.2911,164.0,1977 to 2024
SWM00002591,VISBY AEROLOGISKA STATION,57.65,18.35,45.0,1977 to 2025
SYM00040007,ALEPPO INT. AEROPOR,36.333,37.217,425.0,1957 to 1996
SYM00040022,LATTAKIA,35.533,35.767,7.0,1973 to 1976
SYM00040030,HAMA,35.117,36.75,303.0,1973 to 1976
SYM00040039,RAQQA,35.933,39.017,245.0,1973 to 1976
SZM00006610,PAYERNE,46.8117,6.9425,490.0,1943 to 2025
TSM00060710,TABARKA,36.95,8.75,21.0,1992 to 1999
TSM00060714,BIZERTE,37.233,9.817,3.0,1973 to 1995
TSM00060715,TUNIS-CARTHAGE,36.8333,10.2333,4.0,1948 to 2025
TSM00060720,KELIBIA,36.85,11.083,4.0,1974 to 1996
TSM00060725,JENDOUBA,36.483,8.8,143.0,1973 to 1996
TSM00060735,KAIROUAN,35.667,10.1,60.0,1973 to 1996
TSM00060738,THALA,35.55,8.683,1092.0,1977 to 1996
TSM00060740,MONASTIR-SKANES,35.75,10.75,2.0,1974 to 2005
TUM00017022,ZONGULDAK,41.45,31.8,137.0,1973 to 1974
TUM00017030,SAMSUN,41.2833,36.3,4.0,1952 to 2025
TUM00017064,ISTANBUL BOLGE (KARTAL),40.9,29.15,18.0,1951 to 2025
TUM00017082,MERZIFON,40.85,35.583,535.0,1973 to 1982
TUM00017130,ANKARA/CENTRAL,39.95,32.8833,891.0,1949 to 2024
TUM00017195,KAYSERI/ERKILET,38.817,35.433,1054.0,1973 to 1982
TUM00017196,KAYSERI BOLGE,38.6833,35.4833,1096.0,2016 to 2025
TUM00017220,IZMIR/GUZELYALI,38.4333,27.1667,25.0,1952 to 2025
TUM00017240,ISPARTA,37.75,30.55,997.0,1970 to 2025
TUM00017300,ANTALYA,36.867,30.733,54.0,1973 to 1979
TUM00017351,ADANA/BOLGE,36.9833,35.35,27.0,1986 to 2025
UKM00003005,LERWICK,60.1392,-1.1847,82.0,1941 to 2025
UKM00003023,SOUTH UIST RANGE,57.3575,-7.385,4.0,1998 to 2025
UKM00003026,STORNOWAY,58.217,-6.317,9.0,1949 to 2002
UKM00003066,KINLOSS,57.65,-3.567,7.0,1993 to 2004
UKM00003091,ABERDEEN/DYCE AIRPO,57.2,-2.217,65.0,1989 to 1999
UKM00003162,ESKDALEMUIR,55.317,-3.2,242.0,1999 to 2000
UKM00003170,USAF-DS3-025,56.433,-2.867,4.0,1959 to 1992
UKM00003171,LEUCHARS,56.383,-2.867,12.0,1949 to 2002
UKM00003213,USAF-DS3-027,54.32,-3.4,8.0,1973 to 1999
UKM00003238,ALBEMARLE,55.0197,-1.8817,142.0,2002 to 2025
UKM00003240,BOULMER,55.417,-1.6,23.0,1992 to 2002
UKM00003257,LEEMING,54.3,-1.533,40.0,1990 to 2000
UKM00003322,USAF-DS3-032,53.55,-2.917,54.0,1949 to 1996
UKM00003354,NOTTINGHAM,53.0056,-1.2511,117.0,1998 to 2025
UKM00003377,WADDINGTON,53.167,-0.517,70.0,1989 to 2005
UKM00003414,SHAWBURY,52.8,-2.667,76.0,1997 to 2000
UKM00003470,USAF-DS3-035,52.85,0.167,12.0,1973 to 1977
UKM00003496,USAF-DS3-037,52.67,1.68,13.0,1951 to 2001
UKM00003501,CAPEL DEWI,52.4167,-4.0,92.0,1998 to 2001
UKM00003502,ABERPORTH,52.1394,-4.5711,133.0,1969 to 2025
UKM00003559,CARDINGTON,52.1039,-0.4214,29.0,1996 to 2021
UKM00003586,USAF-DS3-043,52.333,0.767,54.0,1989 to 1993
UKM00003590,WATTISHAM,52.117,0.967,87.0,1999 to 2006
UKM00003649,BRIZE NORTON,51.75,-1.583,88.0,1992 to 2005
UKM00003693,SHOEBURYNESS,51.5547,0.8269,2.0,1966 to 2025
UKM00003715,CARDIFF-WALES ARPT,51.4,-3.35,67.0,1989 to 1997
UKM00003743,LARKHILL,51.2017,-1.8058,132.0,1942 to 2025
UKM00003774,USAF-DS3-044,51.083,-0.217,143.0,1953 to 1992
UKM00003808,CAMBORNE,50.2183,-5.3275,87.0,1949 to 2025
UKM00003882,HERSTMONCEUX,50.8994,0.3169,52.0,1993 to 2025
UKM00003917,BELFAST/ALDERGROVE ARPT,54.65,-6.2167,66.0,1949 to 1962
UKM00003918,CASTOR BAY,54.5,-6.3333,18.0,2002 to 2025
UKM00003920,USAF-DS3-050,54.48,-6.1,37.0,1962 to 2002
UKM00033966,KRYMSKA,45.0464,34.5989,204.6,2011 to 2013
UKXUAC03371,SEWASTOPOL,44.62,33.53,8.0,1939 to 1949
UPM00033317,SHEPETIVKA,50.1667,27.0333,277.0,1957 to 2022
UPM00033345,KIEV,50.4,30.5667,166.0,1939 to 2022
UPM00033393,L'VIV,49.8167,23.95,319.0,1947 to 2022
UPM00033506,POLTAVA,49.6,34.55,159.0,1947 to 1949
UPM00033631,UZHHOROD,48.633,22.267,118.0,1953 to 2008
UPM00033658,CHERNIVTSI,48.3667,25.9,242.0,1950 to 2018
UPM00033791,KRYVYI RIH,48.0333,33.2167,123.0,1949 to 2022
UPM00033837,ODESA,46.4333,30.7667,42.0,1939 to 2022
UPM00033946,SIMFEROPOL,44.6833,34.1333,180.0,1950 to 2010
UPM00034300,KHARKIV,49.9667,36.1333,154.0,1939 to 2022
ZZM00099018,OCEAN WEATHER SHIP M,66.0,2.0,0.0,1967 to 1972
ZZM00099286,ENVIRONM BUOY 62027,48.7,-8.9167,3.0,1960 to 1961
