station_id,latitude,longitude,elevation,name,lstyear
CHM00059280,23.7,113.0833,78.0,QINGYUAN,2025
CHM00059293,23.8,114.7333,61.0,HEYUAN,2025
CHM00059316,23.35,116.6667,4.0,SHANTOU,2025
CHM00059431,22.6333,108.2167,126.0,NANNING,2025
CHM00059758,20.0,110.25,64.0,HAIKOU,2025
CIM00085442,-23.4503,-70.4408,113.0,ANTOFAGASTA,2025
CIM00085586,-33.6547,-71.6144,73.0,SANTO DOMINGO,2025
CIM00085799,-41.4347,-73.0975,84.0,PUERTO MONTT,2025
CIM00085934,-53.0033,-70.845,38.0,PUNTA ARENAS,2025
CJM00078384,19.2917,-81.3583,3.0,OWEN ROBERTS AIRPORT GRAND CAY,2025
CKM00096996,-12.1892,96.8344,3.0,COCOS ISLAND AERO,2025
CMM00064870,7.35,13.5667,1114.0,NGAOUNDERE,2025
CMM00064910,4.0167,9.7,10.0,DOUALA R.S.,2025
CNM00067002,-11.5333,43.2667,29.0,HAHAYA INT. AIRPORT,2025
COM00080001,12.5833,-81.7167,1.0,SAN ANDRES (ISLA)/SESQUICENTEN,2025
COM00080028,10.8833,-74.7833,14.0,BARRANQUILLA/ERNESTO CORTISSOZ,2024
COM00080094,7.1,-73.2,1189.0,BUCARAMANGA/PALONEGRO,2024
COM00080222,4.7,-74.15,2547.0,BOGOTA/ELDORADO,2025
COM00080259,3.55,-76.3833,961.0,CALI/ALFONSO BONILLA ARAGON,2025
COM00080398,-4.1667,-69.95,84.0,LETICIA/VASQUEZ COBO,2025
CYM00017600,34.7194,32.4847,8.4,PAPHOS AP,2025
CYM00017607,35.1408,33.3964,162.0,ATHALASSA,2025
CYM00017609,34.8733,33.6172,9.8,LARNACA AIRPORT,2025
DAM00006060,56.2933,9.1139,52.1,FLYVESTATION KARUP,2024
DRM00078486,18.4333,-69.8833,14.0,SANTO DOMINGO,2025
EGM00062306,31.3253,27.2217,29.0,MERSA MATRUH,2025
EGM00062378,29.8628,31.3492,139.3,HELWAN,2025
EGM00062403,26.2003,32.7467,96.0,SOUTH OF VALLEY UNIVERSITY,2025
EGM00062414,23.9644,32.82,201.8,ASSWAN,2025
EIM00003953,51.9381,-10.2433,23.9,VALENTIA OBSERVATORY,2025
ENM00026038,59.3981,24.6028,32.9,TALLINN-HARKU,2025
